X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
165.816666667,-21.3833333329999,957,57275,57260,BAIE DE KOUAOUA,NC,-21.383333,165.816667,21,23,S,165,49,E,126,82684,V,OR,F, , , , ,Y,N,C,L, ,0,M,Y, , , ,Y,Y,Y,0, , , ,Y,0,Y,Y, ,Y,Y,Y, ,Y,Y,0,0,0, , ,0,Y, , , ,0, ,0,0, , ,0,0,0, , , , , , , , , 
103.433333333,3.96666666600004,958,57410,57400,KUANTAN NEW PORT,MY,3.966667,103.433333,3,58,N,103,26,E,161,93117,S,CB,G,N,N,N,Y, ,H,H,L, ,3,M,Y,Y,N,N,Y,Y,Y,0, , ,Y,Y,0,Y, , ,Y, ,Y, ,Y, ,0,0,0,Y,Y,0,N,Y,Y, ,0, ,0,0, , ,0,0,0, ,Y,Y, , , ,N, , 
103.466666666,4.56666666700005,959,57415,57400,KIRTEH OIL TERMINAL,MY,4.566667,103.466667,4,34,N,103,28,E,161,93117,S,OR,F,Y,Y, ,Y, ,J,B, ,J,0,L,N, , , ,Y,Y,Y,0, , ,Y,Y,0,Y, , ,Y, ,Y, ,Y, ,0,0,0,N,N,0,N, ,Y, ,0, ,0,0, , ,0,0,0,N,N,N,N, , ,N, , 
103.133333333,5.35000000000002,960,57420,57400,KUALA TRENGGANU,MY,5.35,103.133333,5,21,N,103,8,E,161, ,V,RB,G,N,N,N,Y, ,N,L, , ,4, , , , ,N, , ,Y,0, , , , ,0, ,Y,Y, , ,Y, , ,Y,0,0,0, , ,0,N, ,Y, ,0, ,0,0, , ,0,0,0,Y,Y, , , , ,D,S, 
105.016666667,5.51666666700004,961,57425,57400,TAPIS MARINE TERMINAL A,MY,5.516667,105.016667,5,31,N,105,1,E,161,93110,L,OR,N, , , ,Y, ,A, , ,A,0,L, , , , ,Y,Y,Y,0, , ,Y, ,0, , , ,Y,Y, , ,Y, ,0,0,0,N, ,0,N, , , ,0, ,0,0, , ,0,0,0,N,N,N,N,N,N, , , 
100.5,13.7500000000001,962,57450,57431,BANGKOK,TH,13.75,100.5,13,45,N,100,30,E,161,93240/2,L,RN,G, ,Y,N,Y,Y,L,H,L,L,3,M, ,Y,Y,Y,Y,Y,Y,0,Y,Y,Y,Y,0,Y, , ,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,N,Y,Y, ,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,N,Y,C,M, 
100.883333333,13.1166666670001,963,57460,57431,SI RACHA TERMINAL,TH,13.116667,100.883333,13,7,N,100,53,E,161,93244,V,OR,P,N,N,N,Y, ,G,B,G,G,2,M,Y,Y,Y,N,Y,Y,Y,0, , ,Y,Y,0,Y, , ,Y,Y,N, , , ,0,0,0,Y,N,0,N,Y,Y, ,0, ,0,0, , ,0,0,0,Y,Y,Y,Y, , ,C, , 
100.816666667,13.1666666670001,964,57470,57431,KO SI CHANG TERMINAL,TH,13.166667,100.816667,13,10,N,100,49,E,161,93244,V,OR,F,N,N,N,Y,Y,A,F,J,F,1,M,Y,N,N,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y, ,Y, ,Y,Y,0,0,0,Y, ,0,N, , , ,0, ,0,0, ,Y,0,0,0, ,Y,Y, ,Y,Y,C, , 
103.5,10.6333333330001,965,57485,57478,KAMPONG SAOM,KH,10.633333,103.5,10,38,N,103,30,E,161,93283,M,CB,G,N,Y,N,Y, ,L,H,H,K,1,M,Y,Y,Y,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y, ,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,N,Y, , ,0,Y,0,0,Y, ,0,0,0, ,Y,Y, , , ,C, ,S
103.6,10.5000000000001,966,57490,57478,PHSAR REAM,KH,10.5,103.6,10,30,N,103,36,E,161,93284,V,CN,F,N,Y,N,Y, ,N,J,O, ,0,M, , ,Y,N,Y, , ,0, , , , ,0, , , , , , ,Y, ,Y,0,0,0, , ,0,N, , , ,0, ,0,0, , ,0,0,0, ,Y, , , , ,D, , 
